AB006781_s_at	23.3	122.4	1	78.2	1544.9	1	202.4	1	1083.7	71.5	1	401.5	64.9	300.7	200.6	44.9	107.9	1134.8	40.45	76.9	50.7	11.2	569.9	70.5	197	103.8	1	150.2	31.2	285.4
AB006782_at	489.1	1474.9	1381.5	1480	919.9	1013.2	1528.9	1041.6	1	567.7	758.3	898.4	441.4	647.2	1931.9	2093.9	747.5	751	1714.7	1402.8	857.3	524.1	587.3	656.1	1	671.2	889.4	941.4	2157.1	1554.5
AC000064_cds1_at	96.6	160.9	93.8	204.9	250.3	177.6	154.6	118.7	167.6	1	1	186.4	111.5	225.3	118.3	65.7	145.5	142.7	1	1	77.6	71.7	150.1	266	135.6	176.1	124.4	343	273.7	184.8
AC000064_cds2_at	28	54.6	1	35.8	1	48.8	1	1	47.7	36.4	1	52.3	25.9	37.3	16.7	1	36.4	1	1	21.7	1	23.1	24	17.5	45.2	20.1	23.2	24.7	30.8	1
AC002045_xpt1_at	127.7	11.8	121.7	1	1	80.3	26.8	1	69.2	56.9	1	65.3	371.1	81.7	1	40.8	20	213.8	1	1	1	106.6	108.6	49.5	143	97.9	139.5	1	42.8	1
AC002045_xpt2_s_at	516.9	575.1	763.6	289.7	333.6	267.1	442.1	331	888.5	572	1213.3	640.2	2341.2	835.6	135.5	633.3	540.1	1688.7	805.2	325.7	502.2	657.5	790.1	528.9	1435.3	919.8	997.5	274.1	350.6	271.2
AC002115_cds1_at	942.8	1305.9	2716.4	2741.6	1909.7	2124.4	2103.7	2585.7	2696	3478.1	2469.5	1583.7	3610.5	2511.3	1611.8	2158.6	2013.2	2690.3	1229.8	1369	1756.5	759.3	1772.5	1126.6	1894.7	1352.8	1266.9	1606.8	1907.7	2047.1
AC002115_cds4_at	680.7	2251.1	26.1	3317.1	1757.9	2524.2	1	1206.9	1666.7	4895.6	1	1	1	4469.1	1	170.9	2065.7	1	1	1	1	710.8	1506	198.3	1608.6	665.1	1	2661.7	1	1414.9
AC002115_rna2_at	177.2	168.6	357.1	210.1	1	105.2	128.3	248.6	286.9	314.7	1	230.9	715.9	235.9	268.7	241.5	300.9	262.4	163.7	125.6	139.9	580.8	124.7	193.3	319.7	238.2	176.4	179.3	182.4	1
AC002477_s_at	84.1	1	178.8	177	1	119.6	146.9	107.5	141.1	127.5	1	81.6	93.3	122.9	82.5	92.2	87.6	112.4	1	107.1	55	99.1	121.9	169.4	362.2	129.4	105.9	127.5	129.9	170.1
